Time_Stamp,CPU_Usage,Ram_Usage,DataDir_DirectorySize,CPUtemperature
2016-09-30 01:24:02,9.9,17.7,9243252,58.5
2016-09-30 01:26:01,9.9,17.7,9281765,58.5
2016-09-30 01:28:01,9.9,17.8,9329171,58.5
2016-09-30 01:30:02,9.9,18.0,9385456,59.1
2016-09-30 01:32:01,9.9,18.0,9429900,56.9
2016-09-30 01:34:01,9.9,18.0,9486192,58.0
2016-09-30 01:36:01,9.9,18.4,9542477,58.0
2016-09-30 01:38:01,9.9,18.3,9572104,58.0
2016-09-30 01:40:02,9.9,18.4,9607655,56.9
2016-09-30 01:42:01,9.9,17.4,9663947,58.0
2016-09-30 01:44:01,9.9,17.1,9696536,58.0
2016-09-30 01:46:01,9.9,16.4,9752828,58.0
2016-09-30 01:48:01,9.9,17.5,9791341,58.0
2016-09-30 01:50:02,9.9,18.2,9859481,58.5
2016-09-30 01:52:01,9.9,18.9,9892070,59.1
2016-09-30 01:54:01,9.9,19.0,9927621,59.1
2016-09-30 01:56:02,9.9,19.0,9963172,59.1
2016-09-30 01:58:01,9.9,18.3,10028350,60.1
2016-09-30 02:00:01,9.9,18.5,10075756,61.2
2016-09-30 02:02:01,9.9,19.0,10117231,59.1
2016-09-30 02:04:01,9.9,19.6,10170554,59.6
2016-09-30 02:06:02,9.9,18.7,10206105,59.6
2016-09-30 02:08:01,9.9,18.7,10253511,59.1
2016-09-30 02:10:01,9.9,18.7,10318689,59.1
2016-09-30 02:12:02,9.9,18.1,10357202,59.1
2016-09-30 02:14:01,9.9,19.2,10398676,59.1
2016-09-30 02:16:01,9.9,19.2,10443120,58.0
2016-09-30 02:18:01,9.9,19.2,10508298,59.1
2016-09-30 02:20:01,9.9,19.4,10555697,61.8
2016-09-30 02:22:02,9.9,18.9,10597172,60.7
2016-09-30 02:24:01,9.9,19.0,10650502,59.1
2016-09-30 02:26:01,9.9,19.0,10706794,59.1
2016-09-30 02:28:02,9.9,17.9,10730497,59.1
2016-09-30 02:30:01,9.9,18.3,10783820,59.1
2016-09-30 02:32:01,9.9,18.5,10834188,59.1
2016-09-30 02:34:01,9.9,18.5,10872701,59.1
2016-09-30 02:36:01,9.9,18.5,10914176,58.5
2016-09-30 02:38:01,9.9,17.9,10940841,58.5
2016-09-30 02:40:01,9.9,17.9,10988240,58.0
2016-09-30 02:42:01,9.9,17.7,11014905,59.1
2016-09-30 02:44:02,9.9,17.8,11050456,58.0
2016-09-30 02:46:01,9.9,17.9,11074159,56.9
2016-09-30 02:48:01,9.9,18.7,11121558,60.7
2016-09-30 02:50:01,9.9,18.9,11154147,59.1
2016-09-30 02:52:01,9.9,18.9,11186736,58.5
2016-09-30 02:54:02,10.0,18.7,11228218,65.5
2016-09-30 02:56:01,10.0,19.2,11266731,59.1
2016-09-30 02:58:01,10.0,19.7,11299320,59.6
2016-09-30 03:00:02,10.0,19.7,11352643,60.1
2016-09-30 03:02:01,10.0,19.6,11388201,58.5
2016-09-30 03:04:01,10.0,19.6,11435600,59.1
2016-09-30 03:06:01,10.0,17.9,11491892,59.6
2016-09-30 03:08:01,10.0,18.5,11530405,59.6
2016-09-30 03:10:01,10.0,18.5,11545215,58.5
2016-09-30 03:12:01,10.0,18.5,11610393,58.5
2016-09-30 03:14:01,10.0,18.5,11645944,59.1
2016-09-30 03:16:02,10.0,16.9,11699274,58.0
2016-09-30 03:18:01,10.0,17.1,11746680,58.5
2016-09-30 03:20:01,10.0,17.8,11805927,58.5
2016-09-30 03:22:01,10.0,18.1,11853333,59.1
2016-09-30 03:24:01,10.0,18.1,11879998,59.1
2016-09-30 03:26:01,10.0,18.1,11921473,59.1
2016-09-30 03:28:01,10.0,18.0,11933321,59.1
2016-09-30 03:30:01,10.0,18.0,11965910,59.1
2016-09-30 03:32:02,10.0,19.0,12013316,59.6
2016-09-30 03:34:01,10.0,19.1,12057753,58.0
2016-09-30 03:36:01,10.0,19.1,12111081,60.1
2016-09-30 03:38:02,10.0,18.5,12146632,58.5
2016-09-30 03:40:01,10.0,18.5,12191069,59.1
2016-09-30 03:42:01,10.0,18.5,12220696,58.0
