Time_Stamp,cpu,mem,Directory_Size,CPUtemperature
2016-09-30 05:14:20,54154.046875,1231208448,29799452,
2016-09-30 05:19:20,54758.6875,1233416192,30513708,
2016-09-30 05:24:20,55367.765625,1233379328,31211273,
2016-09-30 05:29:20,55976.734375,1234731008,31841114,
2016-09-30 05:34:20,56592.578125,1237680128,32564024,
2016-09-30 05:39:20,57190.140625,1237905408,33246784,
2016-09-30 05:44:19,57806.71875,1243815936,34030944,
2016-09-30 05:49:20,58422.125,1246982144,34775531,
2016-09-30 05:54:20,59017.796875,1245933568,29890706,
2016-09-30 05:59:19,59622.34375,1235984384,30629316,
2016-09-30 06:04:20,60248,1237180416,31358879,
2016-09-30 06:09:20,60838.6875,1234726912,32114754,
2016-09-30 06:14:19,61451.28125,1236254720,32817129,
2016-09-30 06:19:19,62055.28125,1237889024,33559468,
2016-09-30 06:24:19,62661.515625,1240494080,34227342,
2016-09-30 06:29:19,63270.015625,1238958080,35007414,
2016-09-30 06:34:19,63890.3125,1244241920,31354042,
2016-09-30 06:39:20,64502.640625,1234464768,32056943,
2016-09-30 06:44:20,65094.71875,1235369984,32700357,
2016-09-30 06:49:20,65719.015625,1237999616,33409824,
2016-09-30 06:54:20,66312.65625,1239670784,34209858,
2016-09-30 06:59:20,66921.859375,1241284608,34976767,
2016-09-30 07:04:20,67535.953125,1239613440,35661296,
2016-09-30 07:09:20,68148,1245351936,36276436,
2016-09-30 07:14:20,68738.6875,1242480640,36914676,
2016-09-30 07:19:19,69345.296875,1256435712,37662020,
2016-09-30 07:24:19,69955.546875,1246658560,38458337,
2016-09-30 07:29:20,70569.15625,1252171776,32193771,
2016-09-30 07:34:20,71186.65625,1249042432,32944622,
2016-09-30 07:39:19,71777.15625,1235591168,33559195,
2016-09-30 07:44:19,72385.578125,1238224896,34342990,
2016-09-30 07:49:20,73009.5,1239977984,35138641,
2016-09-30 07:54:19,73606.140625,1240571904,35850624,
2016-09-30 07:59:20,74224.65625,1243385856,36542448,
2016-09-30 08:04:20,74822.234375,1241423872,37269150,
2016-09-30 08:09:20,75443.375,1247449088,37955957,
2016-09-30 08:14:20,76036.65625,1249562624,33068822,
2016-09-30 08:19:19,76640.703125,1247367168,33690392,
2016-09-30 08:24:19,77247.953125,1244033024,34351722,
2016-09-30 08:29:19,77858.546875,1239158784,35118081,
2016-09-30 08:34:20,78468.421875,1241456640,35809771,
2016-09-30 08:39:20,79080.25,1243500544,36442375,
2016-09-30 08:44:20,79697.25,1243295744,37110164,
2016-09-30 08:49:20,80300.953125,1244921856,37747137,
2016-09-30 08:54:20,80895.5,1251180544,34039284,
2016-09-30 08:59:19,81502.640625,1242226688,34709832,
2016-09-30 09:04:20,82125.28125,1242583040,35419091,
2016-09-30 09:09:20,82719.875,1239748608,36075749,
2016-09-30 09:14:19,83325.453125,1241489408,36801416,
2016-09-30 09:19:19,83949.140625,1243201536,37577013,
2016-09-30 09:24:20,84559.4375,1244725248,38321860,
2016-09-30 09:29:20,85149.75,1244045312,38966493,
2016-09-30 09:34:19,85762.5625,1255247872,39611239,
2016-09-30 09:39:20,86367.140625,1247141888,40310798,
2016-09-30 09:44:19,86971.671875,1252171776,35455434,
2016-09-30 09:49:20,87596.5,1244098560,36173061,
2016-09-30 09:54:19,88186.90625,1240875008,36813653,
2016-09-30 09:59:20,88806.3125,1241976832,37547679,
2016-09-30 10:04:20,89416.015625,1244921856,38149867,
2016-09-30 10:09:20,90014.171875,1244303360,38775957,
2016-09-30 10:14:20,90635.5625,1246515200,39479831,
2016-09-30 10:19:20,91229.734375,1245642752,40147268,
2016-09-30 10:24:20,91854.6875,1249775616,36422571,
2016-09-30 10:29:21,92461.734375,1241903104,37061831,
2016-09-30 10:34:20,93066.40625,1242218496,37756983,
2016-09-30 10:39:20,93675.5,1244389376,38394996,
2016-09-30 10:44:20,94285.28125,1245233152,39081394,
2016-09-30 10:49:20,94890.828125,1246674944,39712517,
2016-09-30 10:54:20,95484.796875,1248092160,40379873,
2016-09-30 10:59:20,96105.046875,1247064064,41113735,
2016-09-30 11:04:20,96711.484375,1255129088,37322473,
2016-09-30 11:09:20,97319.078125,1242509312,37947355,
2016-09-30 11:14:20,97914.703125,1242996736,38570534,
2016-09-30 11:19:20,98530.96875,1244405760,39276509,
2016-09-30 11:24:20,99139.09375,1247395840,39981400,
2016-09-30 11:29:20,99751.640625,1247272960,40612760,
2016-09-30 11:34:20,100354.328125,1249427456,41233655,
2016-09-30 11:39:20,100947.625,1247825920,41918958,
2016-09-30 11:44:19,101558.84375,1256394752,38144709,
2016-09-30 11:49:21,102178.421875,1246728192,38762052,
2016-09-30 11:54:19,102769.03125,1243938816,39439016,
2016-09-30 11:59:19,103375.546875,1246724096,40071908,
2016-09-30 12:04:20,104001.609375,1248145408,40733727,
2016-09-30 12:09:20,104594.1875,1247948800,41320550,
2016-09-30 12:14:51,105292.828125,1249845248,42072818,
2016-09-30 12:23:13,106335.921875,1253916672,38628716,
2016-09-30 12:24:21,106409.0625,1254043648,38715761,
2016-09-30 12:29:19,107013.140625,1243062272,39353195,
2016-09-30 12:34:19,107634.046875,1244229632,39984528,
2016-09-30 12:39:20,108235.609375,1245540352,40640404,
2016-09-30 12:44:19,108837.375,1247637504,41333047,
2016-09-30 12:49:19,109445.015625,1248210944,41950197,
2016-09-30 12:54:20,110059.3125,1248927744,42616326,
2016-09-30 12:59:20,110685.109375,1251172352,43266528,
2016-09-30 13:04:20,111297.796875,1257496576,39446871,
2016-09-30 13:09:20,111880.84375,1243717632,40077384,
2016-09-30 13:14:21,112486.34375,1245974528,40738013,
2016-09-30 13:19:21,113119.25,1246531584,41437257,
2016-09-30 13:24:20,113712.25,1246969856,42053559,
2016-09-30 13:29:20,114314.296875,1248575488,42691119,
2016-09-30 13:34:20,114932.015625,1262440448,43273006,
2016-09-30 13:39:20,115528.3125,1253183488,43860567,
2016-09-30 13:44:20,116142.078125,1254965248,44448575,
2016-09-30 13:49:21,116763.21875,1260896256,40671635,
2016-09-30 13:54:20,117355.671875,1248063488,41412162,
2016-09-30 13:59:20,117965.34375,1248862208,42037757,
2016-09-30 14:04:20,118585.28125,1250099200,42646279,
2016-09-30 14:09:20,119175.8125,1252343808,43310917,
2016-09-30 14:14:20,119799.796875,1253974016,43930072,
2016-09-30 14:19:20,120405.453125,1254289408,44513986,
2016-09-30 14:24:20,121006.578125,1253191680,45165197,
2016-09-30 14:29:20,121621.859375,1262358528,41334763,
2016-09-30 14:34:20,122224.59375,1252040704,41959726,
2016-09-30 14:39:20,122816.921875,1249345536,42629329,
2016-09-30 14:44:19,123424.125,1251430400,43302231,
2016-09-30 14:49:20,124052.75,1251860480,44018383,
2016-09-30 14:54:23,124680.5625,1252614144,44706336,
2016-09-30 14:59:20,125265.703125,1255112704,45311131,
2016-09-30 15:04:20,125878.703125,1255780352,45952314,
2016-09-30 15:09:21,126483.078125,1262592000,46648908,
2016-09-30 15:14:19,127065.09375,1259986944,47298974,
2016-09-30 15:19:19,127673.078125,1265000448,42408832,
2016-09-30 15:24:19,128280.09375,1248669696,42966845,
2016-09-30 15:29:19,128887.890625,1250041856,43555156,
2016-09-30 15:34:21,129526.0625,1252098048,44304835,
2016-09-30 15:39:20,130122.5625,1254031360,44860844,
2016-09-30 15:44:20,130735.78125,1256235008,45718325,
2016-09-30 15:49:20,131318.890625,1256636416,46322470,
2016-09-30 15:54:21,131955.109375,1286021120,19018525,
2016-09-30 15:59:20,132534.546875,1240743936,15158365,
2016-09-30 16:04:20,133165.953125,1206542336,15855236,
2016-09-30 16:09:21,133776.625,1205350400,16572513,
2016-09-30 16:14:20,134372.984375,1215434752,17201342,
2016-09-30 16:19:20,134985.125,1223147520,17975453,
2016-09-30 16:24:21,135597.875,1224921088,18655124,
2016-09-30 16:29:20,136189.578125,1227898880,19332596,
2016-09-30 16:34:21,136819.8125,1234751488,15549336,
2016-09-30 16:39:20,137420.109375,1224036352,16229978,
2016-09-30 16:44:20,138033.125,1225035776,17151878,
2016-09-30 16:49:21,138639.046875,1225760768,17879594,
2016-09-30 16:54:19,139223.171875,1227485184,18550159,
2016-09-30 16:59:19,139831.15625,1228247040,19262355,
2016-09-30 17:04:20,140444.65625,1229746176,20086407,
2016-09-30 17:09:20,141053.625,1238290432,20752711,
2016-09-30 17:14:21,141658.40625,1232330752,21448381,
2016-09-30 17:19:20,142284.0625,1237291008,16584006,
2016-09-30 17:24:20,142873.59375,1226887168,17261425,
2016-09-30 17:29:19,143481.0625,1225252864,14748438,
2016-09-30 17:34:19,144089.09375,1208713216,15442925,
2016-09-30 17:39:19,144697.65625,1210142720,16059531,
2016-09-30 17:44:19,145306.4375,1211617280,16882769,
2016-09-30 17:49:21,145942.25,1219506176,17623330,
2016-09-30 17:54:21,146551.390625,1227988992,18395475,
2016-09-30 17:59:21,147157.859375,1224859648,19095431,
2016-09-30 18:04:20,147764.65625,1235988480,19762843,
2016-09-30 18:09:21,148373.234375,1226858496,20440860,
2016-09-30 18:14:20,148956.296875,1231876096,14040325,
2016-09-30 18:19:24,149624.828125,1218854912,14841408,
2016-09-30 18:24:21,150201.46875,1216782336,15556077,
2016-09-30 18:29:21,150806,1219215360,16296893,
2016-09-30 18:34:20,151415.953125,1221390336,17041863,
2016-09-30 18:39:21,152020.578125,1221468160,17722232,
2016-09-30 18:44:20,152627.21875,1222651904,18534594,
2016-09-30 18:49:21,153248.140625,1228451840,19258582,
2016-09-30 18:54:20,153844.96875,1224433664,20014750,
2016-09-30 18:59:21,154457.40625,1230045184,15212953,
2016-09-30 19:04:20,155060.5625,1220403200,15939146,
2016-09-30 19:09:20,155667.359375,1219452928,16689151,
2016-09-30 19:14:19,156255.015625,1220956160,17388061,
2016-09-30 19:19:20,156886.171875,1221963776,18209618,
2016-09-30 19:24:20,157478.234375,1224359936,18977188,
2016-09-30 19:29:20,158111.96875,1230368768,15327443,
2016-09-30 19:34:20,158718.859375,1230794752,16069149,
2016-09-30 19:39:21,159327.109375,1218732032,16857222,
2016-09-30 19:44:20,159909.59375,1221033984,17651788,
2016-09-30 19:49:20,160544.96875,1221890048,18489262,
