Time_Stamp,CPU_Usage,Ram_Usage,DataDir_DirectorySize,CPUtemperature
2016-09-30 01:56:01,30.2,17.6,9977779,60.7
2016-09-30 01:58:02,30.1,17.6,10042957,60.7
2016-09-30 02:00:01,30.0,17.6,10090356,61.8
2016-09-30 02:02:01,29.9,17.6,10131838,60.7
2016-09-30 02:04:01,29.8,17.6,10185161,60.1
2016-09-30 02:06:01,29.7,17.6,10220712,60.7
2016-09-30 02:08:02,29.6,17.0,10268118,60.7
2016-09-30 02:10:01,29.8,17.0,10333296,62.3
2016-09-30 02:12:01,29.7,17.0,10371809,61.2
2016-09-30 02:14:01,29.9,17.0,10413284,63.4
2016-09-30 02:16:01,29.8,17.1,10457728,61.2
2016-09-30 02:18:02,29.7,17.1,10525868,61.2
2016-09-30 02:20:01,30.1,17.2,10567343,67.1
2016-09-30 02:22:01,30.0,17.4,10611780,62.3
2016-09-30 02:24:01,29.9,17.4,10665110,61.8
2016-09-30 02:26:01,29.8,17.8,10721402,61.8
2016-09-30 02:28:01,29.7,17.8,10745098,61.2
2016-09-30 02:30:01,29.6,17.7,10798428,61.2
2016-09-30 02:32:01,29.5,16.8,10848789,61.2
2016-09-30 02:34:02,29.4,17.1,10887309,60.7
2016-09-30 02:36:01,29.3,17.1,10922860,61.8
2016-09-30 02:38:01,29.3,17.1,10955449,60.1
2016-09-30 02:40:02,29.2,17.2,11002848,61.2
2016-09-30 02:42:01,29.1,17.2,11029513,61.2
2016-09-30 02:44:01,29.0,17.3,11065064,60.7
2016-09-30 02:46:01,29.2,17.3,11088767,64.5
2016-09-30 02:48:01,29.2,17.6,11136166,61.2
2016-09-30 02:50:02,29.1,17.6,11168755,61.8
2016-09-30 02:52:01,29.0,18.1,11201344,61.2
2016-09-30 02:54:01,29.1,17.9,11239856,68.8
2016-09-30 02:56:02,29.4,17.9,11281338,62.3
2016-09-30 02:58:01,29.3,17.9,11313927,62.3
2016-09-30 03:00:02,29.3,17.2,11367250,61.2
2016-09-30 03:02:01,29.2,17.3,11402801,61.2
2016-09-30 03:04:01,29.1,17.4,11450207,61.2
2016-09-30 03:06:02,29.1,17.4,11506499,61.8
2016-09-30 03:08:01,29.3,17.5,11536119,70.9
2016-09-30 03:10:01,29.4,17.7,11559822,62.3
2016-09-30 03:12:01,29.3,17.7,11625000,61.2
2016-09-30 03:14:01,29.3,17.7,11660551,60.1
2016-09-30 03:16:02,29.2,17.7,11713881,61.2
2016-09-30 03:18:01,29.1,18.2,11761280,61.2
2016-09-30 03:20:01,29.0,18.0,11820534,61.2
2016-09-30 03:22:02,29.0,18.1,11867940,61.2
2016-09-30 03:24:01,28.9,18.3,11894598,61.2
2016-09-30 03:26:01,28.9,18.3,11936080,61.2
2016-09-30 03:28:01,28.8,18.3,11947928,61.2
2016-09-30 03:30:01,28.7,18.3,11980517,61.2
2016-09-30 03:32:02,29.0,17.6,12027916,62.3
2016-09-30 03:34:01,28.9,17.9,12075322,61.8
2016-09-30 03:36:01,29.3,17.9,12125683,62.3
2016-09-30 03:38:02,29.2,17.9,12161241,61.8
2016-09-30 03:40:01,29.1,17.9,12205678,61.8
2016-09-30 03:42:01,29.1,17.9,12235305,61.2
2016-09-30 03:44:01,29.0,17.6,12288628,61.2
2016-09-30 03:46:01,29.3,17.6,12336034,64.5
2016-09-30 03:48:02,29.2,17.9,12374547,61.8
2016-09-30 03:50:01,29.1,18.3,12395288,61.8
2016-09-30 03:52:01,29.5,18.4,12427877,72.5
2016-09-30 03:54:02,29.4,18.4,12457504,62.8
2016-09-30 03:56:01,29.7,18.4,12501941,65.5
2016-09-30 03:58:01,30.0,18.4,12573043,65.0
2016-09-30 04:00:02,30.0,17.5,12611556,63.4
2016-09-30 04:02:01,29.9,17.5,12658962,62.3
2016-09-30 04:04:01,29.8,17.6,12703399,62.3
2016-09-30 04:06:01,29.9,17.7,12753767,67.7
2016-09-30 04:08:01,30.0,17.7,12798204,62.8
2016-09-30 04:10:02,29.9,17.8,12818945,62.3
2016-09-30 04:12:01,29.9,17.8,12857458,61.8
2016-09-30 04:14:01,29.8,17.7,12893009,61.2
2016-09-30 04:16:02,29.7,18.2,12925598,61.2
